SM,RT,Ref,dis_RT,cha_RT
24.960773858028666,41.89999996000001,24.960773858028666,0,20.0
24.960773858028666,39.84000004000001,24.960773858028666,0,20.0
24.960773858028666,32.84400004,24.960773858028666,0,20.0
24.960773858028666,31.03200004,24.960773858028666,0,20.0
14.030773898028663,22.936,14.030773898028663,0,20.0
14.030773898028663,17.383999960000008,14.030773898028663,0,20.0
14.030773898028663,41.61805700327669,14.030773898028663,0,0.7619430367233088
14.030773898028663,47.160000000000004,14.030773898028663,-3.3514857555871913e-15,0.0
6.894773858028664,52.992,6.894773858028664,-3.3514857555871913e-15,0.0
6.894773858028664,51.14000004,6.894773858028664,-3.3514857555871913e-15,0.0
6.894773858028664,48.58400004,6.894773858028664,-3.3514857555871913e-15,0.0
6.894773858028664,49.10799996,6.894773858028664,-3.3514857555871913e-15,0.0
6.243773858028661,49.400000039999995,6.243773858028661,-3.3514857555871913e-15,0.0
6.243773858028661,49.932,6.243773858028661,-3.3514857555871913e-15,0.0
6.243773858028661,53.80400004,6.243773858028661,-3.3514857555871913e-15,0.0
6.243773858028661,64.26800004,6.243773858028661,-3.3514857555871913e-15,0.0
12.55077393802867,73.18400004,12.55077393802867,-3.3514857555871913e-15,0.0
12.55077393802867,75.12,12.55077393802867,-3.3514857555871913e-15,0.0
12.55077393802867,75.90800003999999,12.55077393802867,-3.3514857555871913e-15,0.0
12.55077393802867,86.73200004,12.55077393802867,-3.3514857555871913e-15,0.0
16.87577385802866,78.79599996,16.87577385802866,-3.3514857555871913e-15,0.0
16.87577385802866,75.372,16.87577385802866,-3.3514857555871913e-15,0.0
16.87577385802866,72.08000004,16.87577385802866,-3.3514857555871913e-15,0.0
16.87577385802866,69.48399996,16.87577385802866,-3.3514857555871913e-15,0.0
8.312773898028667,66.93599999999999,8.312773898028667,-3.3514857555871913e-15,0.0
8.312773898028667,62.75600004,8.312773898028667,-3.3514857555871913e-15,0.0
8.312773898028667,56.85200004,8.312773898028667,-3.3514857555871913e-15,0.0
8.312773898028667,47.82,8.312773898028667,-3.3514857555871913e-15,0.0
0.0,44.13200004,0.0,-3.3514857555871913e-15,0.0
0.0,46.18400004,0.0,-3.3514857555871913e-15,0.0
0.0,46.596,0.0,-3.3514857555871913e-15,0.0
0.0,51.27999996,0.0,-3.3514857555871913e-15,0.0
5.488773938028665,58.52000004,5.488773938028665,-3.3514857555871913e-15,0.0
5.488773938028665,59.58399996,5.488773938028665,-3.3514857555871913e-15,0.0
5.488773938028665,68.68400004,5.488773938028665,-3.3514857555871913e-15,0.0
5.488773938028665,70.57599996,5.488773938028665,-3.3514857555871913e-15,0.0
16.09077393802867,62.83599996,16.09077393802867,-3.3514857555871913e-15,0.0
16.09077393802867,64.15599996,16.09077393802867,-3.3514857555871913e-15,0.0
16.09077393802867,68.15600004,16.09077393802867,-3.3514857555871913e-15,0.0
16.09077393802867,71.64800004,16.09077393802867,-3.3514857555871913e-15,0.0
23.434773938028663,64.188,23.434773938028663,-3.3514857555871913e-15,0.0
23.434773938028663,60.00800004,23.434773938028663,-3.3514857555871913e-15,0.0
23.434773938028663,65.96000004,23.434773938028663,-3.3514857555871913e-15,0.0
23.434773938028663,64.73600004000001,23.434773938028663,-3.3514857555871913e-15,0.0
38.110773938028665,67.37199996,38.110773938028665,-3.3514857555871913e-15,0.0
38.110773938028665,79.83999996,38.110773938028665,-3.3514857555871913e-15,0.0
38.110773938028665,86.15600004,38.110773938028665,-3.3514857555871913e-15,0.0
38.110773938028665,95.81600004,38.110773938028665,-3.3514857555871913e-15,0.0
55.99877385802866,92.46800003999999,55.99877385802866,-3.3514857555871913e-15,0.0
55.99877385802866,86.172,55.99877385802866,-3.3514857555871913e-15,0.0
55.99877385802866,80.42799996,55.99877385802866,-3.3514857555871913e-15,0.0
55.99877385802866,66.42,55.99877385802866,-3.3514857555871913e-15,0.0
62.51477385802867,66.91199999999999,62.51477385802867,-3.3514857555871913e-15,0.0
62.51477385802867,75.66399996,62.51477385802867,-3.3514857555871913e-15,0.0
62.51477385802867,90.71600004000001,62.51477385802867,-3.3514857555871913e-15,0.0
62.51477385802867,86.37999995999999,62.51477385802867,-3.3514857555871913e-15,0.0
66.22277385802866,83.604,66.22277385802866,-3.3514857555871913e-15,0.0
66.22277385802866,72.744,66.22277385802866,-3.3514857555871913e-15,0.0
66.22277385802866,66.22277385802866,66.22277385802866,9.686773898028662,0.0
66.22277385802866,66.22277385802866,66.22277385802866,16.43077389802866,0.0
66.89877393802863,66.89877393802863,66.89877393802863,0,16.28122610197137
66.89877393802863,79.78234700464685,66.89877393802863,0,10.101652955353146
66.89877393802863,93.55199999999999,66.89877393802863,-3.3514857555871913e-15,0.0
66.89877393802863,98.95599996,66.89877393802863,-3.3514857555871913e-15,0.0
68.66077389802868,100.776,68.66077389802868,-3.3514857555871913e-15,0.0
68.66077389802868,104.34800003999999,68.66077389802868,-3.3514857555871913e-15,0.0
68.66077389802868,103.668,68.66077389802868,-3.3514857555871913e-15,0.0
68.66077389802868,103.59999996,68.66077389802868,-3.3514857555871913e-15,0.0
88.48077389802867,109.34799996,88.48077389802867,-3.3514857555871913e-15,0.0
88.48077389802867,106.83200004,88.48077389802867,-3.3514857555871913e-15,0.0
88.48077389802867,109.092,88.48077389802867,-3.3514857555871913e-15,0.0
88.48077389802867,113.04399996000001,88.48077389802867,-3.3514857555871913e-15,0.0
86.41477385802867,107.61200004,86.41477385802867,-3.3514857555871913e-15,0.0
86.41477385802867,107.85200004,86.41477385802867,-3.3514857555871913e-15,0.0
