SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle
39293.646632494594,0.0,13701.24648319527,14170.681702357882,28614.66802580501,2490.208661839327
3235.9056092,0.0,3437.526759890614,28616.90103515884,13458.61590492603,2490.208661839327
29707.974008198493,0.0,1977.1926366479836,7610.867636048092,14100.283983758887,1100.693768959131
15579.888497934882,0.0,7262.8172432686115,61525.93736980157,12894.30155272786,1235.7224030526493
83260.00094963268,0.0,11131.169872837658,30393.410662869275,12831.220647356178,1014.2434405622861
85885.1975753391,0.0,3192.2385727419,11746.268664430241,12773.272142631242,1012.3784648665163
101003.17233446125,0.0,4209.376927104648,5877.042937767479,19049.018457540522,1011.4441845534151
96029.88060775705,0.0,-2985.9211536321573,182.9184056184587,15510.435565953596,2254.965570602173
1373.9164552036232,0.0,16603.367551396423,7569.484608185123,15079.980455728204,1578.341709704478
37369.73140821804,0.0,3157.1306886570646,10247.009627704587,13849.978563924626,1508.4420735970873
45809.33436127015,0.0,-8102.961270435106,2950.970661359068,8339.962350719787,1277.8025577883757
3885.570319647525,0.0,8549.994103022513,38774.71044560662,15161.436998185107,186.6640030639423
38755.398478636576,0.0,52214.118095583864,23071.190774847408,12376.339603637354,1561.9350774924676
50764.2627271378,0.0,-15959.662834838566,1981.8453818272328,8538.517279934598,1014.5258620614347
129784.54829102317,0.0,-22681.0429718901,9763.211146303658,16225.82329025488,246.94560794581818
55613.415110917325,0.0,-4966.028225177094,181.97794668696844,9783.32538943214,1815.6338173303457
0.0,0.0,837.057837428962,575.2719491027784,12069.588265799935,515.7220044301058
0.0,0.0,3376.4655069813507,15.840146386468334,12030.057487173695,991.2760748483006
51002.694574013876,0.0,-4671.905038125483,735.2044963391152,13040.512669846805,993.2732327113731
23184.729876470796,0.0,-260.2434909689682,1448.118752483597,12928.710153582568,1212.5042655855354
22371.590087356435,0.0,-2102.9386705387205,1397.7800150373637,12468.536506273686,1201.2915612535674
977.7506283938246,0.0,35408.10628409982,7718.560939138427,14481.809625769303,1117.1372052678025
77668.88178337357,0.0,48077.22708022171,16150.224098966302,12915.10708331589,1550.5658443778193
170827.7012745614,0.0,-622.2800292857169,1720.9533862358498,14114.90061131766,1235.510687886101
21060.21612727822,0.0,-13968.576417107095,3535.2951342559454,14103.056118677037,1501.7589063231248
6961.625238536642,0.0,44336.264320451744,13888.095558056897,11534.032289091356,1513.945226049417
6493.111314556898,0.0,21731.613901994635,4521.6655704839,11497.394954526197,979.5285879083137
23956.739400420283,0.0,20379.328235350713,8045.667409876955,12503.49799971544,981.6523610897482
428.28992781732995,0.0,9019.192460609605,5361.984012692737,11701.070717643992,1208.4346561926905
46561.45575520529,0.0,-17291.802265472976,5400.225538308931,13932.461260328942,1046.679041370106
2730.3950618075187,0.0,11260.04290291413,14614.421628309166,11580.613445491927,1542.2880207065614
8448.49942392941,0.0,12383.791079283554,532.91450704037,12200.859310392298,1043.520577077014
878.809179719767,0.0,45644.15744017814,21600.970056547143,11219.799486132188,1190.0262344034525
86834.74006921978,0.0,-28044.481642971983,7195.28802144202,14340.98532760233,985.6569363230489
0.0,0.0,434.267555500458,38.082137586113525,12307.514083051352,1686.1881114467749
11096.56962287247,0.0,21797.461563589517,18461.63180262546,11053.931272539485,1250.335068850879
20485.689202319885,0.0,74668.3018575051,33137.272159903274,11015.77546113719,982.6362691657436
6401.173595637073,0.0,29067.82631405539,2621.7503580614175,11312.724246364514,984.0250459147167
50880.229718236485,0.0,58475.03398721599,14319.772263760646,10937.16386000867,1060.8065958321931
97990.09100712508,0.0,11920.928614235665,8722.995751431643,12723.967279937899,986.4972808505062
63976.99983116922,0.0,-48696.728623979536,20294.555708915792,5158.5861547550185,1402.019486906209
76530.10234290453,0.0,-873.0160331645504,316.5096918361688,14316.887075325258,-307.8468152670494
107419.75928517432,0.0,55380.74321347832,20318.17031566792,13192.011903962708,1785.343255142382
78055.93336961752,0.0,-20735.056113198705,4646.529237792879,8022.314387455332,1544.1941112149473
72206.02478047341,0.0,-766.6567237318727,5466.21027254366,8293.82709262163,366.26685818615636
71213.65955797397,0.0,20415.464724249407,17857.9737817012,13261.661935357937,434.6005153333824
96301.96466331113,0.0,14325.62450812718,10605.698424110116,12076.766938466044,1593.9745237304737
17108.675434005476,0.0,5027.369230802301,6311.963820043616,11052.672227685378,1332.6973030068239
70532.74060589721,0.0,11273.402984736495,14937.134596950824,10461.079576392662,1105.4490240005414
37910.18538456205,0.0,-2707.05190079807,4493.983679611784,11580.92484606925,977.0631667190505
1825.250478234234,0.0,1001.3115935756579,123.45610454659918,13454.250906948895,1251.5600639526044
10134.610240390271,0.0,-306.6649155993168,101.59995774129375,15271.043769241955,1708.6833373359032
120794.80897380106,0.0,4781.03190624745,727.3353431830187,13064.986783210197,2159.3185193402455
5811.525911970761,0.0,2962.2302359356513,3105.3825496552554,12334.604060447662,1650.6068763249802
2621.7038868897334,0.0,8309.158722122565,15236.416531845016,10161.834376789147,1490.156658044248
16845.350563194374,0.0,3287.2126219564525,542.4486523549575,11674.591088813835,977.638739923339
23282.668829922834,0.0,-33632.79181205568,16190.27293880567,8715.313075675791,1355.5941250865963
82922.64910407978,0.0,22164.049552515746,8630.085506796371,14073.318529220602,645.2308777463265
195088.1322746738,0.0,-110234.7164222621,23043.680182538945,5377.288619364329,1967.34057792452
5489.770696797102,0.0,7638.367172292962,70421.70340830025,12325.854287179738,-157.89721736759662
131054.20696476565,0.0,31742.272514004486,10548.764687610656,15138.570850738797,1561.486642127628
14388.331633485952,0.0,3677.6436743587237,1101.2395545834174,13321.631342048313,2276.0220552025876
26861.426865682675,0.0,-10744.498139723912,5065.094651787871,14100.565018240974,1843.999317539136
87549.43692952575,0.0,7379.013554904761,20433.260688749055,11469.020649023287,2057.751741661396
107827.8733276628,0.0,22145.580186693256,9436.170607760934,13443.512425606885,1412.303090134649
119208.75795636822,0.0,5569.417686374218,31813.07825711891,9632.147107210498,1927.3877267148619
165940.55868796952,0.0,9281.10272922739,4387.3716885170925,13781.064504973916,972.7395862537268
36229.80475717143,0.0,20398.365239396593,6109.828029856094,9545.561752539466,2046.1030074977634
4750.374904833949,0.0,-712.7646573226365,64.94377025531267,13460.981163035269,973.9751409994283
4184.886571329356,0.0,3009.195986781849,1094.4304511646485,10419.802140706503,1997.0313672169168
30636.6644735734,0.0,-12931.23972396807,2123.337646669068,8034.360748502611,1224.6939345249373
34846.03017634795,0.0,11965.113036311417,2179.355740315576,12584.219732648517,613.4113542690437
138964.68875640654,0.0,39242.753402108734,9086.451404790947,10764.911681143152,1813.1055413996926
130490.41928127254,0.0,1849.8312086033984,1657.8221941353966,16356.010755974949,1350.7057872240905
46655.210102773526,0.0,14359.128784586295,4008.8911192399974,13336.386609008643,2845.512035447687
3701.385218185389,0.0,24584.583013595024,18911.12347626392,10768.573478910692,2068.9555541227105
1223.2783085502524,0.0,1034.8933064671514,1193.3404974811272,9136.978160822973,1400.1941302301764
143.7593204033942,0.0,7316.97105063247,6345.116415986029,9104.817350644056,974.0880748567465
214.86943301588687,0.0,3022.5927343447047,6868.387104712762,9072.67033107646,974.945788761877
48589.985983703984,0.0,5302.863063696939,405.6938571101606,12016.676884821776,975.7728014097797
