nld,ld,cycles
0.0,0.0,0.0
0.0006717058222019956,8.541387422290958e-05,1.0229730418354042
0.0009876357730218555,0.0001258578627389539,1.475135975093263
0.001318628354800233,0.00016841778276107208,1.9827684176618394
0.0016213114898407932,0.00020750707362507154,2.3994177183623093
0.001922513852454788,0.0002465671398667586,2.8153008905492585
0.0022223559215306388,0.00028561256570892396,3.2308002621381027
0.0026695159792193834,0.00034414427382655746,4.157135883864347
0.0030336107108145383,0.0003920731216349975,4.805515694188957
0.003387600862357454,0.00043890662516112564,5.425180865267572
0.003712717730055215,0.0004821259514327666,5.950099756377821
0.0039084914941566185,0.0005082468714224162,6.0267809782937585
0.0042643937711093205,0.0005559186233175412,6.668420974916252
0.004554918174950573,0.0005950123397950563,7.085186293838203
0.00475535285288331,0.0006220778871806841,7.1866310858347235
0.00513624072354657,0.0006737251599738612,7.932490048353059
0.0053658962491200946,0.0007050024988008231,8.14434767928092
0.005649219917331361,0.0007437318854633767,8.551562029277287
0.005931615632992715,0.0007824925680749226,8.959596807973274
0.006237730953881138,0.0008246886542412899,9.457691283272496
0.006541221802556785,0.0008667090346062649,9.951179600688867
0.006833910452938796,0.0009074106957647619,10.410097466702636
0.007173859035703334,0.000954904289014436,11.047067003712304
0.007477030563480702,0.0009974608914084509,11.55461247408805
0.007808366258582056,0.0010441896680794917,12.17153221260107
0.008139423913950061,0.0010911094073417272,12.793458068372544
0.008410175845618872,0.0011296547080294772,13.195846572794974
0.008680067745959863,0.0011682332887590237,13.59910751925203
0.008973577088676188,0.0012103656031573543,14.09553020665513
0.009248250110217127,0.0012499631677673516,14.525503991255526
0.009575303191445506,0.0012973270455087166,15.15907301384625
0.009847148577489917,0.0013368751162157843,15.587749307246431
0.010133553725621192,0.0013787189661717213,16.07660984954832
0.010396929300413027,0.0014173602995682221,16.481515867990886
0.01073357214847881,0.0014669791266969387,17.174198777622777
0.011022480929771095,0.0015097680307427624,17.68783407585964
0.011281962884525543,0.001548362029550934,18.091499209906598
0.011540549162955993,0.0015869777908282126,18.49573485083401
0.011806106070147648,0.001626796737649404,18.931512208276814
0.012062847005828603,0.0016654512394488406,19.336763438673145
0.012361531683761418,0.0017106170751825126,19.91271041099377
0.012482625255469282,0.001728988890490586,19.786247517398152
0.012818702416861893,0.0017801615028141488,20.519663173853353
0.013128374057799985,0.0018275552494569304,21.154015214845415
0.01331669129694213,0.0018564905898270062,21.304476952363196
0.013511382073764233,0.0018864967352085799,21.48301002791095
0.013822688691965124,0.0019346705530113345,22.13781176888004
0.014106180873619256,0.001978750093279106,22.685281318237305
0.01436563327333018,0.002019268597797101,23.139397701336122
0.014611198521602309,0.0020577752647357567,23.540773415363898
0.014883051217519427,0.002100583364752479,24.054911939288086
0.01519887870359804,0.0021505546975368636,24.75683584547068
0.01555735390944879,0.0022075875931204976,25.6438798381574
0.01586404374004058,0.0022566488536491765,26.32194604322048
0.01615358843629522,0.002303195820270524,26.934099599928793
0.016392129149365386,0.002341711506581146,27.33571175834801
0.0166661805833751,0.0023861498456144744,27.892587279216915
0.0168707653973581,0.002419456619954915,28.157646912093927
0.017201124987245908,0.002473481174548953,28.965826726969023
0.017327352419625353,0.002494202736491498,28.90096284659501
0.01761669172214131,0.0025418674612954933,29.54241862681176
0.01797205723506945,0.002600729129643209,30.477404212869157
0.018284771585821757,0.0026528208967170268,31.23491566960472
0.018615770764653705,0.0027082622162153086,32.0802362207567
0.018884996601485238,0.0027535891985103235,32.66040767797164
0.019200572010537043,0.0028069876822179934,33.45217493659864
0.019426678750142923,0.0028454265976001957,33.85177453189066
0.019750177916926348,0.002900685378603674,34.69230980492378
0.019974252136469528,0.002939143655428962,35.09241696378505
0.020290237609780215,0.002993633471905605,35.91279369914411
0.020534833904162997,0.0030360205731461503,36.41589566755224
0.02072343392173348,0.0030688287278220596,36.66788389993976
0.021018838140809737,0.003120436381917072,37.41270425145372
0.021271535598113567,0.0031647981195083055,37.967571652308685
0.021655479512573073,0.003232583834223545,39.13650265278602
0.021968540231094402,0.0032882007201854454,39.986425709057094
0.022221323646092306,0.003333337952136471,40.5616228282831
0.022435806701510685,0.0033717979986627442,40.96177638016087
0.022649534808333316,0.0034102714857743213,41.36228227930014
0.022862508290283468,0.0034487579323750424,41.76312791368209
0.023144589907298063,0.0034999633446173785,42.49740342566408
0.02343044601655775,0.003552124122146327,43.256724003381315
0.023663478694361584,0.003594849113310205,43.76868381439659
0.023872738344464794,0.0036333721245546996,44.1704879972204
0.024081251677232962,0.0036719062429710968,44.57258335647101
0.024289019747986917,0.003710451097709517,44.97496017025485
0.024506204453317415,0.0037509024571822313,45.427316334412886
0.024792993851537215,0.0038045697557363527,46.22613062059502
0.02499804759571711,0.0038431188734663725,46.628619189438794
0.025202366727686498,0.0038816779343468525,47.03136841968648
0.0254444244025952,0.003927551653863772,47.625872687455015
0.0257027575950991,0.003976742156403492,48.3073269941245
0.025904449981486,0.004015315478432965,48.71045008285232
0.026107483265842668,0.004054295220586699,49.1242275452222
0.026424852455336656,0.004115529884527241,50.1214216199536
0.02668833740624732,0.004166652031372255,50.8535143151862
0.026844450819541343,0.004197064275430947,51.042693337583735
0.02707706150908007,0.004242549419983364,51.627011045650555
0.02724264663611342,0.004275053429447673,51.871026058868054
0.027460284014039438,0.004317934646899439,52.387081368960565
0.027669321989747808,0.004359293215999638,52.86322018994565
0.02786341373672485,0.004397846353019174,53.265814125157185
0.028094375207814548,0.004443914804335641,53.865423320631116
0.02832862611501108,0.004490853871986027,54.48785587343102
