SM,dis_SM,cha_SM,w_SM,RT,Ref,dis_RT,cha_RT
10.887499999999985,0.0,40.000000000000014,50.8875,21.230000000000004,10.887499999999985,0.0,40.0
10.887499999999985,0.0,38.72500000000001,49.6125,10.887499999999985,10.887499999999985,0.0,36.932500000000005
10.887499999999985,0.0,37.45000000000002,48.3375,10.887499999999985,10.887499999999985,0.0,35.40250000000002
10.887499999999985,0.0,36.17500000000001,47.06249999999999,10.887499999999985,10.887499999999985,0.0,31.127500000000015
9.353750000000005,0.0,40.0,49.353750000000005,9.353750000000005,9.353750000000005,0.0,37.356249999999996
9.353750000000005,0.0,36.34749999999999,45.701249999999995,10.040000000000004,9.353750000000005,0.0,40.0
9.353750000000005,0.0,32.69499999999999,42.04875,9.353750000000005,9.353750000000005,0.0,35.00125
9.353750000000005,0.0,29.042499999999997,38.39625,9.353750000000005,9.353750000000005,0.0,30.51625
21.059195570621373,0.0,13.870179429378627,34.929375,21.059195570621373,21.059195570621373,0.0,15.01580442937863
21.059195570621373,0.0,10.093929429378626,31.153125,21.059195570621373,21.059195570621373,0.0,5.83580442937863
21.059195570621373,0.0,6.317679429378625,27.376875,21.059195570621373,21.059195570621373,0.0,7.095804429378628
21.059195570621373,0.0,2.541429429378624,23.600624999999997,21.059195570621373,21.059195570621373,0.0,11.130804429378632
0.0,0.0,18.856875000000002,18.856875000000002,0.0,0.0,0.0,25.634999999999998
0.0,0.0,15.725625,15.725625,0.0,0.0,0.0,20.04
0.0,0.0,12.594375,12.594375,0.8212499999999978,0.0,0.0,15.348750000000003
0.0,0.0,9.463125000000003,9.463125000000002,14.024999999999993,0.0,-7.105427357601002e-15,0.0
0.0,0.0,2.2481250000000004,2.248125,16.064999999999994,0.0,-7.105427357601002e-15,0.0
0.0,0.0,1.8393750000000002,1.8393750000000002,18.52499999999999,0.0,-7.105427357601002e-15,0.0
0.0,0.0,1.430625,1.430625,11.354999999999993,0.0,-7.105427357601002e-15,0.0
0.0,0.0,1.021875,1.021875,2.384999999999993,0.0,-7.105427357601002e-15,0.0
0.0,0.0,0.0,0.0,2.549999999999993,0.0,-7.105427357601002e-15,0.0
0.0,0.0,0.0,0.0,4.214999999999993,0.0,-7.105427357601002e-15,0.0
0.0,0.0,0.0,0.0,3.5549999999999926,0.0,-7.105427357601002e-15,0.0
0.0,0.0,0.0,0.0,2.939999999999993,0.0,-7.105427357601002e-15,0.0
0.0,0.0,0.0,0.0,6.524999999999992,0.0,-7.105427357601002e-15,0.0
0.0,0.0,0.0,0.0,12.584999999999994,0.0,-7.105427357601002e-15,0.0
0.0,0.0,0.0,0.0,12.434999999999993,0.0,-7.105427357601002e-15,0.0
0.0,0.0,0.0,0.0,8.339999999999993,0.0,-7.105427357601002e-15,0.0
22.993582096445003,22.993582096445003,0.0,0.0,22.993582096445003,22.993582096445003,7.993582096445003,0.0
22.993582096445003,22.993582096445003,0.0,0.0,22.993582096445,22.993582096445003,9.388582096445003,0.0
22.993582096445003,21.892957096445002,0.0,1.100625,22.993582096445,22.993582096445003,13.243582096445003,0.0
22.993582096445003,19.691707096445004,0.0,3.3018750000000003,22.993582096445,22.993582096445003,6.568582096445002,0.0
45.998125,40.0,0.0,5.998125,45.998125,45.998125,16.553125,0.0
45.998125,38.128750000000004,0.0,7.869375000000001,45.998125,45.998125,24.173125,0.0
45.998125,36.2575,0.0,9.740625,45.998125,45.998125,18.908125000000002,0.0
45.998125,34.386250000000004,0.0,11.611875,45.998125,45.998125,2.858125000000001,0.0
52.841875,40.0,0.0,12.841875,52.841874999999995,52.841875,0.0,6.828124999999993
52.841875,37.70125,0.0,15.140625,52.841874999999995,52.841875,0.0,1.4431249999999949
52.841875,35.4025,0.0,17.439375000000002,52.841874999999995,52.841875,0.0,8.523125000000007
52.841875,33.103750000000005,0.0,19.738125,52.841874999999995,52.841875,0.0,9.183125000000004
25.483824971110867,0.0,0.3499250288891318,25.83375,25.483824971110867,25.483824971110867,0.0,28.711175028889134
25.483824971110867,0.0,0.11742502888913364,25.60125,26.869999999999994,25.483824971110867,0.0,40.0
25.483824971110867,0.11507497111086691,0.0,25.36875,64.51911634722299,25.483824971110867,0.0,6.010883652777011
25.483824971110867,0.3475749711108662,0.0,25.13625,77.055,25.483824971110867,-7.105427357601002e-15,0.0
24.544121506736076,0.0,3.2396284932639254,27.78375,62.129999999999995,24.544121506736076,-7.105427357601002e-15,0.0
24.544121506736076,0.0,1.0871284932639256,25.63125,63.599999999999994,24.544121506736076,-7.105427357601002e-15,0.0
24.544121506736076,1.0653715067360778,0.0,23.478749999999998,60.044999999999995,24.544121506736076,-7.105427357601002e-15,0.0
24.544121506736076,3.2178715067360777,0.0,21.326249999999998,54.67499999999999,24.544121506736076,-7.105427357601002e-15,0.0
0.0,0.0,15.163124999999999,15.163124999999999,58.934999999999995,0.0,-7.105427357601002e-15,0.0
0.0,0.0,15.684375000000001,15.684375000000001,67.39499999999998,0.0,-7.105427357601002e-15,0.0
0.0,0.0,16.205625,16.205624999999998,64.16999999999999,0.0,-7.105427357601002e-15,0.0
0.0,0.0,16.726875,16.726875,63.87,0.0,-7.105427357601002e-15,0.0
0.0,0.0,17.079375000000006,17.079375000000002,56.699999999999996,0.0,-7.105427357601002e-15,0.0
0.0,0.0,17.713124999999998,17.713124999999998,52.13999999999999,0.0,-7.105427357601002e-15,0.0
0.0,0.0,18.346875,18.346875,56.02499999999999,0.0,-7.105427357601002e-15,0.0
0.0,0.0,18.980625,18.980625,58.334999999999994,0.0,-7.105427357601002e-15,0.0
