SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,
48959.25176,0,10081.89638,2849.156586,12269.68548,1987.967827,,56587.21105
7607.307302,0,-16236.39729,4945.238901,8272.088112,1587.118889,,-10283.50761
7016.263387,0,-225.9877793,100.597172,11013.12713,596.2687781,,4587.650181
37951.6063,0,-36981.82082,8617.44519,6347.80028,1295.089338,,-299.7745769
46685.19304,0,-427.4427628,51.67457128,9585.16742,125.0251668,,44340.7168
158846.182,0,21940.44577,4307.233098,12182.583,951.5385216,,178350.1111
143978.4121,0,-18617.25299,3767.629104,11614.56319,1624.195429,,123038.2464
58430.18672,0,955.9401686,2440.718681,11885.30667,1493.829284,,57009.06556
8483.671064,0,19722.53021,12091.71227,11193.94049,1577.817181,,25967.41318
1979.429957,0,286.5438441,36.77938727,10041.03291,1413.607132,,257.7672181
1595.402389,0,5882.358492,3857.648262,9190.205801,1126.938885,,5639.71972
600.1819906,0,2682.220142,6044.579616,9066.708477,915.5244264,,1469.060437
60604.34519,0,-5651.516933,658.627214,9652.284739,892.2960509,,53022.37131
35059.34633,0,-14404.61647,2342.08333,4891.340045,1055.382672,,19676.46185
181002.7865,0,-626.7200576,23.04514545,9935.310557,-191.4023274,,178389.0043
88984.40477,0,25664.15791,26733.33441,8930.275139,1145.793407,,112862.5077
18297.62125,0,8496.177673,10320.4092,8906.374192,889.5053262,,25012.52409
25214.4193,0,16851.64674,29060.90312,8882.218615,892.0478941,,40289.62232
100695.1476,0,8016.317181,1210.753731,10871.39582,894.5108366,,106537.1856
23409.2062,0,-7709.289572,2655.490215,8448.294501,1438.520057,,14010.25773
3023.978894,0,1044.062544,265.4949042,11001.39875,797.2868697,,1867.761687
1893.349511,0,2380.303281,2385.639291,9101.24978,1497.885246,,2453.402836
15568.38727,0,-10751.54686,2602.478001,10055.26901,994.1163901,,2805.786608
2376.503809,0,1628.090629,19050.79713,12290.10045,1264.74473,,1546.574347
19512.93924,0,23965.83392,24670.60877,8645.622432,1891.014197,,41749.64867
6683.230117,0,1450.938352,835.7630629,10675.37001,902.0586376,,5999.094467
82806.88857,0,-16962.45469,2959.237938,7260.387891,1473.708589,,64392.3563
44935.99106,0,2269.406053,2172.816499,10050.35177,536.6090356,,45195.32676
5153.864372,0,-24052.10232,8378.154385,6285.446891,1322.198422,,-20155.32733
21.20089541,0,0,0,9910.663481,278.6651235,,-1960.931801
6519.041213,0,-7551.61394,739.4297995,6036.953853,1303.019813,,-2239.963498
40.86198378,0,163.8743076,0,9994.328614,221.1030296,,-1794.129431
11303.19373,0,301.3185887,0.084866394,9708.535621,1346.366651,,9662.805195
18673.08499,0,57696.33557,41857.82577,9371.237537,1277.540421,,74495.17305
58081.49439,0,-26275.51851,5857.605305,8559.425921,1193.033601,,30094.09069
101538.6778,0,-59218.25852,14023.38136,4957.478665,971.2280356,,41328.92355
63229.2359,0,28545.79174,11188.22152,10696.09933,-56.0993804,,89635.80777
12124.31879,0,-2547.941148,410.4137981,6873.72365,1603.249189,,8201.632916
26532.2384,0,-25904.08592,3241.605603,3709.073515,509.1617211,,-113.6622323
7.277984234,0,1287.651963,347.986558,9864.23658,-404.1976454,,-677.9173688
616.4369182,0,2724.99945,657.7132222,8131.155373,1390.280558,,1715.205293
10567.52991,0,-3318.565514,743.800334,8185.066677,895.6046407,,5611.951058
2774.368551,0,11756.22045,3033.730576,10004.95889,920.2333334,,12529.59722
21051.40047,0,11471.82226,34337.2594,8494.600356,1466.145681,,30824.30266
25198.47095,0,3618.639317,4638.045543,11838.76017,1031.950391,,26449.35824
30243.60986,0,-8468.5797,351.3688001,7058.126243,2037.31865,,20363.40491
107814.687,0,3087.673698,735.6691729,13149.60112,626.0174934,,108272.4405
2926.000881,0,256.4632437,2.706346789,10319.82007,2462.176582,,1118.500111
10451.15862,0,-12631.03838,6923.382722,4032.700944,1630.64449,,-2986.419942
222.8225004,0,-1.14E-14,0,6111.85772,-260.534303,,-999.5490436
123.8987671,0,1184.307424,972.2690071,9170.363653,372.6956368,,-525.8665395
10424.05976,0,3417.672781,497.713266,10533.80197,1309.89464,,11734.97215
13127.28739,0,3315.276621,4908.422369,9178.077714,1739.565197,,14606.94847
575.917838,0,-317.3253701,2196.419694,9550.043509,1338.202915,,-1651.416234
4044.265387,0,-11669.59553,3014.874428,2957.676015,1465.419536,,-8216.865345
14540.06048,0,-11192.41005,3887.824659,6540.800561,-565.2630711,,2039.490313
32015.92939,0,-9625.309193,1366.838562,8531.882692,547.7747688,,20684.24366
45583.10006,0,-4385.312946,2673.201747,9962.12881,1174.619542,,39205.36135
51975.56376,0,-22275.19984,6681.171658,3118.051705,1633.368732,,29076.75358
145687.21,0,1976.132078,83.49597336,10565.33484,-502.6647239,,145550.2751
108717.4201,0,-10381.88477,5525.358939,10169.20143,1843.122947,,96301.69505
19554.84751,0,676.8787986,270.6748344,11751.71355,1734.503071,,17881.3836
1039.582334,0,-1745.337967,3.102159878,7395.914366,2254.486884,,-2184.938506
20406.65459,0,4387.375679,18760.34031,7407.942148,881.1244199,,23312.44184
7054.122088,0,9897.066525,19758.37137,7386.154649,893.4894242,,15473.95768
6230.838387,0,-1298.959642,582.6578116,8882.60686,895.0559282,,3155.357373
2776.365309,0,625.1607567,345.6700908,11035.60903,1387.679125,,1194.40426
833.8110791,0,1613.553055,739.9044932,7476.083461,2100.266102,,952.1474424
6988.827818,0,8262.69127,5279.151546,7271.285471,956.4460149,,13797.26199
18319.60853,0,-5583.947358,1786.749992,9860.201774,898.3381202,,10763.62082
9471.660014,0,-4678.741534,1356.273839,3957.306755,1758.936488,,4001.457129
2566.961599,0,7.37E-16,0,7185.411967,-175.7641025,,1129.879206
3895.475687,0,-2820.985132,279.332593,4171.970479,894.924686,,240.0964593
45.09114905,0,1008.157096,1276.382467,8789.615098,-97.27278019,,-704.6747744
3758.68307,0,214.1288361,24.83906764,8803.229476,1442.897267,,2212.166011
19204.727,0,1397.796945,805.9456077,9720.390574,1460.362697,,18658.44583
21097.57885,0,852.5770694,461.9694776,10048.84126,1781.89078,,19940.38767
2809.434473,0,5280.69033,2853.773957,7700.539083,1908.986231,,6550.016987
9007.182723,0,3428.755705,2321.137339,7864.663093,1128.65927,,10863.00581
59863.72232,0,-2695.939725,2653.418631,8817.024297,1194.821177,,55404.37774
18956.75431,0,-18806.27844,8634.173711,3394.504787,1531.531487,,-528.4250952
44905.5417,0,16927.86666,7146.19672,9544.642402,-317.1079002,,59924.47988
86730.3634,0,-47854.18362,11705.33418,4447.367193,1801.121809,,37986.70634
29652.25465,0,-14758.43874,4929.357326,4237.262867,54.22101247,,14046.36334
451.5741228,0,1399.828753,4379.458953,7744.934844,-15.0004395,,302.4159064
8926.696991,0,13691.0695,5762.751049,6828.867092,1206.242649,,21251.99308
1474.596985,0,2725.337362,2597.58354,6808.496871,897.4239775,,2838.234973
74786.7799,0,-37773.82917,18611.48965,5016.981052,898.7238882,,36009.55452
77893.85436,0,-8767.785647,1244.264187,7744.345183,278.1387654,,67577.19968
3613.857387,0,-4625.541462,279.3133337,2548.619866,1243.080018,,-1521.408049
5924.240337,0,-9688.551066,430.6524305,2552.974643,-581.6070689,,-4274.905657
